Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet
BZ1,1,Buzzer,,,,Buzzer_Beeper:PUIAudio_SMT_0825_S_4_R,~
"C1,C2,C3",3,10u,,,,Capacitor_SMD:C_0805_2012Metric,~
"C4,C5,C6",3,22u,,,,Capacitor_SMD:C_0805_2012Metric,~
C7,1,1u,,,,Capacitor_SMD:C_0805_2012Metric,~
"C8_BYP1,C10,C12_BYP1",3,100n,,,,Capacitor_SMD:C_0805_2012Metric,~
C9,1,4u7,,,,Capacitor_SMD:C_0805_2012Metric,~
C11,1,0.1u,,,,Capacitor_SMD:C_0805_2012Metric,~
"D1,D2,D5,D6,D7",5,LED,,,,LED_SMD:LED_0805_2012Metric,~
D4,1,SS14,,,,Diode_SMD:D_SMA,https://www.vishay.com/docs/88746/ss12.pdf
J1,1,Conn_01x04_Pin,,,,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,~
J3,1,MSD-4-A,,,,New_Library3:CUI_MSD-4-A,
J4,1,2171790001,,,,New_Library4:MOLEX_2171790001,
J5,1,Conn_01x06_Pin,,,,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical,~
J6,1,B2B-PH-K-S_LF__SN_,,,,NewLibrary6:JST_B2B-PH-K-S_LF__SN_,
L1,1,5u,,,,Inductor_SMD:L_0805_2012Metric,~
"Q1,Q2",2,BSS138,,,,Package_TO_SOT_SMD:SOT-23,https://www.onsemi.com/pub/Collateral/BSS138-D.PDF
Q3,1,BC847,,,,Package_TO_SOT_SMD:SOT-23,http://www.infineon.com/dgdl/Infineon-BC847SERIES_BC848SERIES_BC849SERIES_BC850SERIES-DS-v01_01-en.pdf?fileId=db3a304314dca389011541d4630a1657
"R1,R2,R12,R21",4,1k,,,,Resistor_SMD:R_0805_2012Metric,~
R3,1,0,,,,Resistor_SMD:R_0805_2012Metric,~
R4,1,2k,,,,Resistor_SMD:R_0805_2012Metric,~
R7,1,15k,,,,Resistor_SMD:R_0805_2012Metric,~
R8,1,110k,,,,Resistor_SMD:R_0805_2012Metric,~
"R9,R22",2,5k1,,,,Resistor_SMD:R_0805_2012Metric,~
"R11,R13,R14,R15,R16,R17",6,10k,,,,Resistor_SMD:R_0805_2012Metric,~
"R18,R19,R20",3,150,,,,Resistor_SMD:R_0805_2012Metric,~
U1,1,AMS1117-3.3,,,,Package_TO_SOT_SMD:SOT-223-3_TabPin2,http://www.advanced-monolithic.com/pdf/ds1117.pdf
U2,1,TP4056-42-ESOP8,,,,Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,https://www.lcsc.com/datasheet/lcsc_datasheet_2410121619_TOPPOWER-Nanjing-Extension-Microelectronics-TP4056-42-ESOP8_C16581.pdf
U3,1,MT3608,,,,New_Library1:SOT95P280X145-6N,
U4,1,ESP32-WROOM-32,,,,RF_Module:ESP32-WROOM-32,https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32_datasheet_en.pdf
U6,1,CP2102N-Axx-xQFN24,,,,Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,https://www.silabs.com/documents/public/data-sheets/cp2102n-datasheet.pdf
